K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs,K_0,K_1,K_2,K_3
0.0,0.0,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.0119003889137572,0.0,1,28,0.0,0.0,1e-07,1e-06
0.0,0.0,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.0118994432752948,0.0,1,28,0.0,0.0,1e-06,1e-06
0.0,0.0,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.0118899091638294,0.0,1,28,0.0,0.0,1e-06,1e-07
0.0,0.0,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.0118994432752803,0.0,1,28,0.0,0.0,1e-07,1e-07
0.0,1e-07,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6953756708686142,0.0237981200045708,0.0,1,44,0.0,1e-07,1e-07,1e-07
0.0,1e-07,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6953757271496456,0.0238102225795477,0.0,1,44,0.0,1e-07,0.0,1e-07
0.0,1e-07,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.695375159814859,0.0236892652007072,0.0,1,44,0.0,1e-07,1e-06,1e-07
0.0,1e-06,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6953757271496456,0.0238102225795468,0.0,1,44,0.0,1e-06,0.0,1e-06
0.0,1e-07,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6936663692918812,0.4347245865828139,0.0262290113144074,0,387,0.0,1e-07,0.0,1e-06
0.0,1e-07,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.0393165774970971,1.5719025341824655,0.4090205282149988,1,597,0.0,1e-07,1e-07,0.0
0.0,1e-06,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.695375721526062,0.0238090122535115,0.0,1,44,0.0,1e-06,1e-07,1e-06
0.0,1e-06,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6953756708686138,0.0237981200045788,0.0,1,44,0.0,1e-06,1e-06,1e-06
1e-07,0.0,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6969587048904248,0.011900831435931,0.0,1,28,1e-07,0.0,0.0,1e-07
1e-07,0.0,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6969591446168855,0.0119005276549086,0.0,1,28,1e-07,0.0,0.0,1e-06
1e-07,0.0,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.6920691601006805,0.1304261737323884,4.2119190502684365,1,48,1e-07,0.0,1e-07,0.0
1e-07,0.0,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6969591446146306,0.0119004226774107,0.0,1,28,1e-07,0.0,1e-07,1e-06
1e-07,0.0,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6969587046648547,0.0118997815407552,0.0,1,28,1e-07,0.0,1e-07,1e-07
1e-07,0.0,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6969587026268118,0.0118902539652876,0.0,1,28,1e-07,0.0,1e-06,1e-07
1e-07,0.0,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6969591445943297,0.0118994771044867,0.0,1,28,1e-07,0.0,1e-06,1e-06
1e-07,0.0,1e-06,0.0,0.7925915658092677,0.6969591934750073,0.694359835934938,0.6984379551744987,3.174200305992282,1,44,1e-07,0.0,1e-06,0.0
1e-07,1e-07,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6953751971302425,0.0238036168083772,0.0,1,44,1e-07,1e-07,0.0,1e-07
1e-07,1e-07,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6953751407820846,0.0237915191845009,0.0,1,44,1e-07,1e-07,1e-07,1e-07
0.0,1e-06,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.0759301846079952,1.0024904375731931,0.112123671957891,0,948,0.0,1e-06,1e-07,1e-07
1e-07,1e-07,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6953746291177144,0.0236827089659599,0.0,1,44,1e-07,1e-07,1e-06,1e-07
0.0,1e-06,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.105021928275293,1.0203614842735669,0.0928139095499614,0,876,0.0,1e-06,1e-06,1e-07
1e-07,1e-07,0.0,0.0,0.7925915658092677,0.6969591934750073,0.114165435590819,0.9999982972885364,0.3259317503040572,0,705,1e-07,1e-07,0.0,0.0
1e-07,1e-07,1e-06,0.0,0.7925915658092677,0.6969591934750073,-0.0363965290328082,1.9404461512228397,0.4483894401464622,0,1473,1e-07,1e-07,1e-06,0.0
1e-07,1e-06,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6953756741422457,0.0238095616903034,0.0,1,44,1e-07,1e-06,0.0,1e-06
1e-07,1e-06,0.0,0.0,0.7925915658092677,0.6969591934750073,0.1139504676319217,0.9999984714971524,0.0326133895537449,0,837,1e-07,1e-06,0.0,0.0
1e-07,1e-06,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6953756685179933,0.0238083514137695,0.0,1,44,1e-07,1e-06,1e-07,1e-06
1e-07,1e-06,1e-06,0.0,0.7925915658092677,0.6969591934750073,-0.2675048729866265,1.989050278625229,0.0456314927228679,1,1060,1e-07,1e-06,1e-06,0.0
1e-07,1e-06,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.0693510749144653,1.000333940249852,0.122954836352165,0,1659,1e-07,1e-06,0.0,1e-07
1e-07,1e-06,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6953756178545126,0.0237974596105139,0.0,1,44,1e-07,1e-06,1e-06,1e-06
1e-06,0.0,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6969543072941603,0.0119039927127954,0.0,1,28,1e-06,0.0,0.0,1e-07
1e-06,0.0,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6969587048904248,0.0119008314359436,0.0,1,28,1e-06,0.0,0.0,1e-06
1e-07,1e-06,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.0769746771677392,1.002841452779214,0.1121390401965399,0,1985,1e-07,1e-06,1e-07,1e-07
1e-06,0.0,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6969543050369339,0.0119029496123717,0.0,1,28,1e-06,0.0,1e-07,1e-07
1e-06,0.0,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6969587048678757,0.0119007265239851,0.0,1,28,1e-06,0.0,1e-07,1e-06
1e-07,1e-06,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.1052843267758159,1.0205825227899934,0.0926710701561522,0,898,1e-07,1e-06,1e-06,1e-07
1e-06,0.0,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6969542846428705,0.0118934830732364,0.0,1,28,1e-06,0.0,1e-06,1e-07
1e-06,0.0,1e-06,0.0,0.7925915658092677,0.6969591934750073,0.6920691601006759,0.1304261737325086,0.4211919050270761,1,48,1e-06,0.0,1e-06,0.0
1e-06,0.0,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6969587046648547,0.0118997815407647,0.0,1,28,1e-06,0.0,1e-06,1e-06
1e-06,1e-07,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6953704323703405,0.0237444756436236,0.0,1,44,1e-06,1e-07,0.0,1e-07
1e-06,0.0,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.2687990069095929,1.0000371083409902,85.99666868024428,0,976,1e-06,0.0,1e-07,0.0
1e-06,1e-07,0.0,0.0,0.7925915658092677,0.6969591934750073,0.116558685228674,0.9999996690799636,0.323890420550345,0,1025,1e-06,1e-07,0.0,0.0
1e-06,1e-07,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6953703754060214,0.0237324225177287,0.0,1,44,1e-06,1e-07,1e-07,1e-07
1e-06,1e-07,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.1174486389491656,0.9999992614552216,0.3229336998153128,0,876,1e-06,1e-07,1e-07,0.0
1e-06,1e-07,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6953698581388745,0.0236240129876692,0.0,1,44,1e-06,1e-07,1e-06,1e-07
0.0,1e-07,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.4455584132156931,0.7945696448382978,3337.8766170112244,0,39586,0.0,1e-07,1e-07,1e-06
1e-06,1e-06,0.0,0.0,0.7925915658092677,0.6969591934750073,0.1141654355886152,0.9999987666802836,0.032593175030585,0,822,1e-06,1e-06,0.0,0.0
1e-06,1e-06,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.2390346648227957,0.57315945023469,0.048384191347569,1,723,1e-06,1e-06,0.0,1e-07
1e-06,1e-06,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6953751971302419,0.023803616808386,0.0,1,44,1e-06,1e-06,0.0,1e-06
1e-06,1e-06,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.114253251462509,0.9999987550892574,0.0325836499425956,0,802,1e-06,1e-06,1e-07,0.0
1e-06,1e-06,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.0816753202320675,1.004823363152468,0.1079876752459337,0,1068,1e-06,1e-06,1e-07,1e-07
1e-06,1e-06,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6953751914999542,0.0238024069774001,0.0,1,44,1e-06,1e-06,1e-07,1e-06
1e-06,1e-06,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.1076435586819272,0.9999994864628414,0.0913597918452128,0,1017,1e-06,1e-06,1e-06,1e-07
1e-06,1e-06,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6953751407820846,0.0237915191844998,0.0,1,44,1e-06,1e-06,1e-06,1e-06
1e-07,1e-07,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.3185958310863631,0.9019325971891112,602.0738806360373,1,62199,1e-07,1e-07,1e-07,1e-06
0.0,1e-07,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.2971154432240561,0.9180571091549028,739.4886954777106,1,66932,0.0,1e-07,1e-06,1e-06
1e-07,1e-07,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.3011612831693152,0.9151323018488634,723.2101014924511,1,70141,1e-07,1e-07,0.0,1e-06
1e-07,1e-07,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.2956989832171011,0.9190754670028278,372.47142426470987,1,70765,1e-07,1e-07,1e-06,1e-06
1e-06,1e-07,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.2859089207306713,0.9263260471387118,78.21627010278445,1,68012,1e-06,1e-07,0.0,1e-06
1e-06,1e-07,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.2825469318092968,0.940231294041274,72.37003472026116,1,67076,1e-06,1e-07,1e-06,1e-06
1e-06,1e-07,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.2859537822684113,0.9262776022509602,77.42542397802671,1,68438,1e-06,1e-07,1e-07,1e-06
5e-07,5e-08,5e-07,5e-08,0.7925915658092677,0.6969591934750073,0.6953698581388745,0.0236240129876692,0.0,1,44,5e-07,5e-08,5e-07,5e-08
1e-07,2e-08,1e-07,2e-08,0.7925915658092677,0.6969591934750073,0.6953727941518314,0.0237168890154867,0.0,1,44,1e-07,2e-08,1e-07,2e-08
1e-07,7.5e-08,1e-07,2.5e-08,0.7925915658092677,0.6969591934750073,0.6937045755586808,0.0164346956810309,0.0,1,48,1e-07,7.5e-08,1e-07,2.5e-08
1e-07,5e-07,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.2824893789694503,0.9565631414814496,505.58734165725014,1,72044,1e-07,5e-07,1e-07,1e-06
1e-07,1e-07,5e-07,1e-06,0.7925915658092677,0.6969591934750073,0.29497035342106764,0.9197000009127397,497.5488854381962,1,70619,1e-07,1e-07,5e-07,1e-06
1e-07,1e-07,1e-07,5e-07,0.7925915658092677,0.6969591934750073,0.3038202487808625,0.912287193898929,587.7586404513931,1,74162,1e-07,1e-07,1e-07,5e-07
5e-07,1e-07,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.28371702771534346,0.9369683910750972,155.01541621608249,1,75206,5e-07,1e-07,1e-07,1e-06
