K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs,K_0,K_1,K_2,K_3
0.0,0.0,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.011900388913757295,0.0,1,28,0.0,0.0,1e-07,1e-06
0.0,0.0,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.011899443275294807,0.0,1,28,0.0,0.0,1e-06,1e-06
0.0,0.0,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.01188990916382948,0.0,1,28,0.0,0.0,1e-06,1e-07
0.0,0.0,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6969591934750073,0.011899443275280388,0.0,1,28,0.0,0.0,1e-07,1e-07
0.0,1e-07,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6953756708686142,0.02379812000457083,0.0,1,44,0.0,1e-07,1e-07,1e-07
0.0,1e-07,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6953757271496456,0.023810222579547784,0.0,1,44,0.0,1e-07,0.0,1e-07
0.0,1e-07,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.695375159814859,0.0236892652007072,0.0,1,44,0.0,1e-07,1e-06,1e-07
0.0,1e-06,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6953757271496456,0.023810222579546847,0.0,1,44,0.0,1e-06,0.0,1e-06
0.0,1e-07,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6936663692918812,0.43472458658281393,0.026229011314407406,0,387,0.0,1e-07,0.0,1e-06
0.0,1e-07,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.039316577497097126,1.5719025341824655,0.40902052821499885,1,597,0.0,1e-07,1e-07,0.0
0.0,1e-06,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.695375721526062,0.02380901225351154,0.0,1,44,0.0,1e-06,1e-07,1e-06
0.0,1e-06,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6953756708686138,0.02379812000457888,0.0,1,44,0.0,1e-06,1e-06,1e-06
1e-07,0.0,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6969587048904248,0.011900831435931056,0.0,1,28,1e-07,0.0,0.0,1e-07
1e-07,0.0,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6969591446168855,0.011900527654908608,0.0,1,28,1e-07,0.0,0.0,1e-06
1e-07,0.0,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.6920691601006805,0.1304261737323884,4.2119190502684365,1,48,1e-07,0.0,1e-07,0.0
1e-07,0.0,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6969591446146306,0.0119004226774107,0.0,1,28,1e-07,0.0,1e-07,1e-06
1e-07,0.0,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6969587046648547,0.011899781540755208,0.0,1,28,1e-07,0.0,1e-07,1e-07
1e-07,0.0,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6969587026268118,0.01189025396528769,0.0,1,28,1e-07,0.0,1e-06,1e-07
1e-07,0.0,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6969591445943297,0.011899477104486763,0.0,1,28,1e-07,0.0,1e-06,1e-06
1e-07,0.0,1e-06,0.0,0.7925915658092677,0.6969591934750073,0.694359835934938,0.6984379551744987,3.174200305992282,1,44,1e-07,0.0,1e-06,0.0
1e-07,1e-07,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6953751971302425,0.02380361680837727,0.0,1,44,1e-07,1e-07,0.0,1e-07
1e-07,1e-07,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6953751407820846,0.023791519184500995,0.0,1,44,1e-07,1e-07,1e-07,1e-07
