name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
branch0_seg0,9.7751710654936461e-04,1.5053984294649243e+01,1.5053984294649243e+01,5.3497984929513528e+04,5.3347445086567030e+04
branch0_seg0,1.9550342130987292e-03,8.4476843551666914e+00,8.4476843551666914e+00,2.9287056504718643e+04,2.9202579661166983e+04
branch0_seg0,2.9325513196480938e-03,1.3070784079303380e+01,1.3070784079303380e+01,4.5031214493008418e+04,4.4900506652215379e+04
branch0_seg0,3.9100684261974585e-03,1.2386823118789669e+01,1.2386823118789669e+01,4.1645895382016010e+04,4.1522027150828115e+04
branch0_seg0,4.8875855327468231e-03,1.4534559747273665e+01,1.4534559747273665e+01,4.8316466888670526e+04,4.8171121291197793e+04
branch0_seg0,5.8651026392961877e-03,1.5314395829068879e+01,1.5314395829068879e+01,5.0091271595789898e+04,4.9938127637499216e+04
branch0_seg0,6.8426197458455523e-03,1.6728848059959521e+01,1.6728848059959521e+01,5.4177960760106464e+04,5.4010672279506864e+04
branch0_seg0,7.8201368523949169e-03,1.7733458274537682e+01,1.7733458274537682e+01,5.6853620199624653e+04,5.6676285616879279e+04
branch0_seg0,8.7976539589442806e-03,1.8865042948445691e+01,1.8865042948445691e+01,6.0019919942020024e+04,5.9831269512535575e+04
branch0_seg0,9.7751710654936461e-03,1.9914357334782018e+01,1.9914357334782018e+01,6.2889120443909269e+04,6.2689976870561448e+04
branch0_seg0,1.0752688172043012e-02,2.1065104689492280e+01,2.1065104689492280e+01,6.6073093044064764e+04,6.5862441997169852e+04
branch0_seg0,1.1730205278592375e-02,2.2296770296713046e+01,2.2296770296713046e+01,6.9462555905732574e+04,6.9239588202765430e+04
branch0_seg0,1.2707722385141739e-02,2.3661194710279016e+01,2.3661194710279016e+01,7.3226781974463403e+04,7.2990170027360611e+04
branch0_seg0,1.3685239491691105e-02,2.5134124851767361e+01,2.5134124851767361e+01,7.7285730728778566e+04,7.7034389480260885e+04
branch0_seg0,1.4662756598240470e-02,2.6693122482772338e+01,2.6693122482772338e+01,8.1584138013656950e+04,8.1317206788829237e+04
branch0_seg0,1.5640273704789834e-02,2.8293628954483971e+01,2.8293628954483971e+01,8.5995873828450000e+04,8.5712937538905157e+04
branch0_seg0,1.6617790811339198e-02,2.9901395919103617e+01,2.9901395919103617e+01,9.0428173841094060e+04,9.0129159881903019e+04
branch0_seg0,1.7595307917888561e-02,3.1495037068189486e+01,3.1495037068189486e+01,9.4821258712658702e+04,9.4506308341976794e+04
branch0_seg0,1.8572825024437929e-02,3.3075821803857906e+01,3.3075821803857906e+01,9.9179039738800333e+04,9.8848281520761768e+04
branch0_seg0,1.9550342130987292e-02,3.4663146922037548e+01,3.4663146922037548e+01,1.0355478192169286e+05,1.0320815045247249e+05
