sample_index,alpha_lpa,beta_lpa,lrr_lpa,alpha_rpa,beta_rpa,lrr_rpa,constant_indicator_lpa,constant_indicator_rpa,eh_lpa,eh_rpa,k1_lpa,k2_lpa,k3_lpa,k1_rpa,k2_rpa,k3_rpa,compliance_label_lpa,compliance_label_rpa,mpa_systolic,mpa_diastolic,mpa_mean,rpa_split,lpa_split
0,0.18374005191143772,0.3215709211826413,18.124904419751616,0.5474856364829794,0.4315328545336622,16.592867571123563,0.0,0.0,0.0,0.0,27612080.14370988,-28.226022999154452,1238082.3353570087,19003427.11420469,-21.143949026098085,1295246.281175509,Olufsen,Olufsen,4359.896601979726,-382.43764575470504,889.3532662042296,0.6737684372647287,0.3262315627352713
1,0.3706821947814408,0.6558653287407554,2.070882557582402,0.6755753613312361,0.36603276789846473,12.225412461171768,1.0,0.0,65297.642218242465,0.0,0.0,0.0,0.0,17243069.408618756,-22.606842049949893,1257250.0094108663,Constant (6.53e+04),Olufsen,3959.6581980191054,2.4272583387564026,819.8612698060692,0.5010452888667255,0.4989547111332745
2,0.617579169771238,0.6149316151386046,8.133429104673787,0.1809380222359364,0.6171546363239903,17.76712449570651,0.0,1.0,0.0,113118.37571806608,10781553.014578084,-26.51891073488831,858799.1706959178,0.0,0.0,0.0,Olufsen,Constant (1.13e+05),4158.130572042896,-196.05863870095072,843.1627060505291,0.37900090203450587,0.6209990979654941
3,0.17377334115900112,0.46648840277142145,19.329986856108818,0.32125357317481085,0.23235311420559587,14.411713120406667,0.0,0.0,0.0,0.0,29201846.938877396,-34.79543094815879,1015314.8686215773,28894656.638594054,-31.653026031293635,1090196.2663288089,Olufsen,Olufsen,3999.657948126242,1.2321056390805467,830.7063476183095,0.4986656895394528,0.5013343104605472
4,0.6752350244216639,0.7032356653696202,11.062006918258056,0.5784694030674677,0.6519570313632482,10.527609188630358,1.0,1.0,148714.94922995614,137930.82991165362,0.0,0.0,0.0,0.0,0.0,0.0,Constant (1.49e+05),Constant (1.38e+05),3957.1341131249037,-11.881348223157636,815.8763009648368,0.4652816505276376,0.5347183494723624
5,0.25065778294842117,0.5916717111600702,11.327789705562946,0.7749505089118905,0.14473094805605588,10.359618108385227,0.0,0.0,0.0,0.0,26549154.46605776,-24.66382193596592,1163682.6624732239,27744241.67903495,-32.08736607641603,1555065.9246169215,Olufsen,Olufsen,4025.719380164213,-1.219165633227473,836.5620635203807,0.4997732741774004,0.5002267258225996
6,0.11255093436916003,0.15294319678194176,12.283156397500683,0.23423053449580603,0.354061419542146,10.73088631705754,1.0,0.0,127601.45337889931,0.0,0.0,0.0,0.0,18341159.04299288,-22.024376142098838,1435649.6888649182,Constant (1.28e+05),Olufsen,3965.8807937477477,-122.20612642550074,844.9229763730476,0.4503506446891132,0.5496493553108868
7,0.530862506244801,0.5610072434475656,7.846104257568537,0.4980636339611394,0.24865716384770858,2.894363618634485,1.0,0.0,117820.02996937158,0.0,0.0,0.0,0.0,23309168.92246057,-26.27663601547789,1349060.1573333782,Constant (1.18e+05),Olufsen,3976.209737681022,-55.048922687905865,822.9182154064772,0.44560049922514905,0.554399500774851
8,0.4314666492896485,0.2482603597934979,8.412831560930385,0.6271753133615282,0.5281011571829123,2.922973247119941,0.0,1.0,0.0,93058.50176758677,16334727.069156995,-23.831379866723392,661458.161610056,0.0,0.0,0.0,Olufsen,Constant (9.31e+04),4402.532210745127,-398.2835747181807,884.8385712574456,0.3118853301094579,0.688114669890542
9,0.7466778912261596,0.6762713124313456,16.63482296532908,0.5677294731403467,0.6881261433529479,13.472762980245081,1.0,1.0,92924.99452037268,103134.89592478085,0.0,0.0,0.0,0.0,0.0,0.0,Constant (9.29e+04),Constant (1.03e+05),3939.759320911336,3.951686683444905,815.0017407851897,0.49671384109699973,0.5032861589030002
