,mpa_systolic,mpa_diastolic,mpa_mean,lpa_split,rpa_split,combined
alpha_lpa,0.09965645957360271,0.14354108412606378,0.1972525020037778,0.3000066941942895,0.3000066941942895,0.20809268681840462
beta_lpa,0.1422327448195413,0.1667328235248362,0.2217367556863837,0.2613861631661761,0.2613861631661761,0.2106949300726227
lrr_lpa,0.11527520660800007,0.06380307561469827,0.14294794012380369,0.0860864995043962,0.08608649950439624,0.09883984427105888
alpha_rpa,0.17424093041167932,0.17830031861306878,0.16114547366822207,0.3423128377108327,0.34231283771083276,0.2396624796229271
beta_rpa,0.17241855418067076,0.25144628951802384,0.21666975640458006,0.1286560393468348,0.1286560393468348,0.17956933575938885
lrr_rpa,0.15797779317740462,0.12321727876038839,0.04087233022320637,0.0131282941957909,0.013128294195790785,0.06966479811051622
eh_lpa,0.32823443127067553,0.33797886186038484,0.3836550438772511,0.0452580099347281,0.045258009934728116,0.22807687137555357
eh_rpa,0.1900797776695375,0.08391290419892461,0.17944790371855535,0.024534086613342356,0.02453408661334232,0.10050175176274041
k1_lpa,0.30911211638471003,0.33411035071486694,0.3979932609966099,0.0037862712712334306,0.0037862712712335225,0.20975765412773076
k2_lpa,0.29022114969129,0.32911187332932457,0.3862731637526823,0.017267344909266878,0.017267344909266916,0.2080281753183661
k3_lpa,0.2783528612475819,0.31600615069314125,0.3528336201789769,0.002298075760732402,0.0022980757607324815,0.190357756728233
k1_rpa,0.025886744084199265,0.051628548174636496,0.07109014555254332,0.1166628839095234,0.11666288390952335,0.07638624112608516
k2_rpa,0.02865528409044641,0.0666752877435966,0.03288124752212853,0.06758514241096031,0.06758514241096031,0.05267642083561843
k3_rpa,0.11721323372453953,0.03236505837576194,0.14000361860956945,0.13766197889052156,0.13766197889052156,0.11298117369818281
