parameter,branch,compliance_model,parameter_value,baseline_parameter_value,delta_parameter,relative_parameter_change,metric,metric_value,baseline_metric_value,delta_metric,relative_metric_change,sensitivity
alpha,lpa,constant,0.1,0.8,-0.7000000000000001,-0.875,mpa_systolic,4006.8302860061076,3930.6512619063146,76.17902409979297,0.019380763904973633,-0.02214944446282701
alpha,lpa,constant,0.1,0.8,-0.7000000000000001,-0.875,mpa_diastolic,-16.495015166377232,4.679746225352589,-21.17476139172982,-4.5247670219840685,5.171162310838936
alpha,lpa,constant,0.1,0.8,-0.7000000000000001,-0.875,mpa_mean,831.1485273335132,812.7413177002337,18.407209633279535,0.02264830055074022,-0.025883772057988825
alpha,lpa,constant,0.1,0.8,-0.7000000000000001,-0.875,rpa_split,0.46376402113368026,0.5,-0.03623597886631974,-0.07247195773263948,0.08282509455158797
alpha,lpa,constant,0.1,0.8,-0.7000000000000001,-0.875,lpa_split,0.5362359788663198,0.5,0.036235978866319796,0.07247195773263959,-0.08282509455158811
alpha,lpa,constant,0.12,0.8,-0.68,-0.85,mpa_systolic,3988.0780408049886,3930.6512619063146,57.426778898674,0.01460999083160147,-0.017188224507766435
alpha,lpa,constant,0.12,0.8,-0.68,-0.85,mpa_diastolic,-6.59162677387112,4.679746225352589,-11.271372999223708,-2.408543638148772,2.8335807507632613
alpha,lpa,constant,0.12,0.8,-0.68,-0.85,mpa_mean,825.534545574727,812.7413177002337,12.793227874493255,0.015740836101077644,-0.01851863070715017
alpha,lpa,constant,0.12,0.8,-0.68,-0.85,rpa_split,0.4773177147133951,0.5,-0.022682285286604875,-0.04536457057320975,0.05337008302730559
alpha,lpa,constant,0.12,0.8,-0.68,-0.85,lpa_split,0.5226822852866049,0.5,0.022682285286604875,0.04536457057320975,-0.05337008302730559
alpha,lpa,constant,0.14,0.8,-0.66,-0.825,mpa_systolic,3971.1048568114397,3930.6512619063146,40.4535949051251,0.010291830083523013,-0.012474945555785471
alpha,lpa,constant,0.14,0.8,-0.66,-0.825,mpa_diastolic,-1.6031607232848777,4.679746225352589,-6.282906948637466,-1.3425742863148715,1.6273627712907535
alpha,lpa,constant,0.14,0.8,-0.66,-0.825,mpa_mean,821.6814920365251,812.7413177002337,8.94017433629142,0.011000024413166179,-0.013333362925049915
alpha,lpa,constant,0.14,0.8,-0.66,-0.825,rpa_split,0.48693669604840545,0.5,-0.013063303951594551,-0.026126607903189103,0.031668615640229214
alpha,lpa,constant,0.14,0.8,-0.66,-0.825,lpa_split,0.5130633039515946,0.5,0.013063303951594607,0.026126607903189214,-0.03166861564022935
alpha,lpa,constant,0.16,0.8,-0.64,-0.7999999999999999,mpa_systolic,3958.62718039721,3930.6512619063146,27.97591849089531,0.007117374864064475,-0.008896718580080594
alpha,lpa,constant,0.16,0.8,-0.64,-0.7999999999999999,mpa_diastolic,1.021278316656946,4.679746225352589,-3.658467908695643,-0.7817663036674604,0.9772078795843255
alpha,lpa,constant,0.16,0.8,-0.64,-0.7999999999999999,mpa_mean,819.0967091274937,812.7413177002337,6.355391427259974,0.007819697717895592,-0.009774622147369492
alpha,lpa,constant,0.16,0.8,-0.64,-0.7999999999999999,rpa_split,0.49257675600627404,0.5,-0.007423243993725959,-0.014846487987451917,0.018558109984314897
alpha,lpa,constant,0.16,0.8,-0.64,-0.7999999999999999,lpa_split,0.507423243993726,0.5,0.007423243993725959,0.014846487987451917,-0.018558109984314897
