K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs,K_0,K_1,K_2,K_3
2e-07,1e-07,2e-07,1e-07,0.8051718599191652,0.7616714050195462,0.396917520368731,35.89905728561838,216.67787924525203,0,9045,2e-07,1e-07,2e-07,1e-07
2e-07,1e-07,1e-07,2e-07,0.8051718599191652,0.7616714050195462,0.3605833746981758,1.533062456580676,409.5619679420407,0,8512,2e-07,1e-07,1e-07,2e-07
1e-07,1e-07,1e-07,2e-07,0.8051718599191652,0.7616714050195462,0.3998452414272425,6633.84171661067,692.6446978990309,0,9689,1e-07,1e-07,1e-07,2e-07
2e-07,1e-07,1e-07,1e-07,0.8051718599191652,0.7616714050195462,0.3935584609902112,96.58474503442925,282.9537033850438,0,9801,2e-07,1e-07,1e-07,1e-07
2e-07,1e-07,2e-07,2e-07,0.8051718599191652,0.7616714050195462,0.3622017205072156,1.5267820256816276,339.44077084214376,0,8649,2e-07,1e-07,2e-07,2e-07
1e-07,2e-07,2e-07,2e-07,0.8051718599191652,0.7616714050195462,0.3913270537302973,1.4292758477735463,284.91529808201574,0,10313,1e-07,2e-07,2e-07,2e-07
1e-07,1e-07,2e-07,1e-07,0.8051718599191652,0.7616714050195462,0.3965030779198499,1242.266160729644,290.0202734788012,0,9913,1e-07,1e-07,2e-07,1e-07
1e-07,1e-07,1e-07,1e-07,0.8051718599191652,0.7616714050195462,0.3985441615245352,2736.731030736098,428.3084656680751,0,10389,1e-07,1e-07,1e-07,1e-07
2e-07,2e-07,2e-07,1e-07,0.8051718599191652,0.7616714050195462,0.4152276212572615,1.2894914997273963,113.14641645920308,0,11944,2e-07,2e-07,2e-07,1e-07
2e-07,2e-07,1e-07,2e-07,0.8051718599191652,0.7616714050195462,0.3997819869908698,2413.5966740810313,285.419442349802,0,11064,2e-07,2e-07,1e-07,2e-07
1e-07,2e-07,2e-07,1e-07,0.8051718599191652,0.7616714050195462,0.4218377704928227,4.016065415058707,132.0948279187051,0,12744,1e-07,2e-07,2e-07,1e-07
1e-07,2e-07,1e-07,1e-07,0.8051718599191652,0.7616714050195462,0.4219987444020651,5.043070098336167,219.74601824494505,0,14757,1e-07,2e-07,1e-07,1e-07
2e-07,1e-07,2e-07,1e-07,0.8051718599191652,0.7599479802493697,0.7305742324279124,0.2907472475889324,2.8882443438756416,1,396,2e-07,1e-07,2e-07,1e-07
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.728866663013938,0.1189568798916227,0.001971688771676,1,33,1e-07,6.5e-07,6.5e-07,1e-07
1e-07,6.5e-07,6.5e-07,1e-07,0.8051718599191652,0.7599479802493697,0.4820547385350583,0.555009415270176,0.7837971065711652,1,818,1e-07,6.5e-07,6.5e-07,1e-07
